,year,week_num,start_date,end_date,rank,music,singer,album,production,distribution
0,2022,16,2022.04.10,2022.04.16,1,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life),,
1,2022,16,2022.04.10,2022.04.16,2,TOMBOY,(여자)아이들,I NEVER DIE,,
2,2022,16,2022.04.10,2022.04.16,3,LOVE DIVE,IVE (아이브),LOVE DIVE,,
3,2022,16,2022.04.10,2022.04.16,4,Feel My Rhythm,레드벨벳(Red Velvet),`The ReVe Festival 2022 - Feel My Rhythm`,,
4,2022,16,2022.04.10,2022.04.16,5,사랑인가 봐,멜로망스(Melomance),사랑인가 봐 (사내맞선 OST 스페셜 트랙),,
5,2022,16,2022.04.10,2022.04.16,6,GANADARA (Feat. 아이유),박재범,GANADARA,,
6,2022,16,2022.04.10,2022.04.16,7,취중고백,김민석,취중고백,,
7,2022,16,2022.04.10,2022.04.16,8,INVU,태연 (TAEYEON),INVU - The 3rd Album,,
8,2022,16,2022.04.10,2022.04.16,9,듣고 싶을까,MSG워너비(M.O.M),듣고 싶을까,,
9,2022,16,2022.04.10,2022.04.16,10,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,,
10,2022,16,2022.04.10,2022.04.16,11,ELEVEN,IVE (아이브),ELEVEN,,
11,2022,16,2022.04.10,2022.04.16,12,RUN2U,STAYC(스테이씨),YOUNG-LUV.COM,,
12,2022,16,2022.04.10,2022.04.16,13,SMILEY (Feat. BIBI),YENA(최예나),SMiLEY,,
13,2022,16,2022.04.10,2022.04.16,14,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),,
14,2022,16,2022.04.10,2022.04.16,15,신호등,이무진,신호등,,
15,2022,16,2022.04.10,2022.04.16,16,DICE,온유 (ONEW),DICE - The 2nd Mini Album,,
16,2022,16,2022.04.10,2022.04.16,17,Stay,"The Kid LAROI, Justin Bieber",Stay,,
17,2022,16,2022.04.10,2022.04.16,18,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo,쇼미더머니 10 Episode 2,,
18,2022,16,2022.04.10,2022.04.16,19,드라마,아이유 (IU),조각집,,
19,2022,16,2022.04.10,2022.04.16,20,언제나 사랑해,케이시 (Kassy),조영수 리메이크 프로젝트 Part.2,,
20,2022,16,2022.04.10,2022.04.16,21,존재만으로,원슈타인 (Wonstein),스물다섯 스물하나 OST Part 4,,
21,2022,16,2022.04.10,2022.04.16,22,strawberry moon,아이유 (IU),strawberry moon,,
22,2022,16,2022.04.10,2022.04.16,23,MY BAG,(여자)아이들,I NEVER DIE,,
23,2022,16,2022.04.10,2022.04.16,24,Next Level,aespa,Next Level,,
24,2022,16,2022.04.10,2022.04.16,25,Real Love,오마이걸 (OH MY GIRL),Real Love,,
25,2022,16,2022.04.10,2022.04.16,26,Step Back,GOT the beat,Step Back,,
26,2022,16,2022.04.10,2022.04.16,27,abcdefu,GAYLE,abcdefu,,
27,2022,16,2022.04.10,2022.04.16,28,리무진 (Feat. MINO) (Prod. GRAY),BE`O (비오),쇼미더머니 10 Episode 3,,
28,2022,16,2022.04.10,2022.04.16,29,Weekend,태연 (TAEYEON),Weekend,,
