,year,week_num,start_date,end_date,rank,music,singer,album,production,distribution
0,2022,12,2022.03.13,2022.03.19,1,GANADARA (Feat. 아이유),박재범,GANADARA,,
1,2022,12,2022.03.13,2022.03.19,2,TOMBOY,(여자)아이들,I NEVER DIE,,
2,2022,12,2022.03.13,2022.03.19,3,INVU,태연 (TAEYEON),INVU - The 3rd Album,,
3,2022,12,2022.03.13,2022.03.19,4,듣고 싶을까,MSG워너비(M.O.M),듣고 싶을까,,
4,2022,12,2022.03.13,2022.03.19,5,취중고백,김민석,취중고백,,
5,2022,12,2022.03.13,2022.03.19,6,사랑인가 봐,멜로망스(Melomance),사랑인가 봐 (사내맞선 OST 스페셜 트랙),,
6,2022,12,2022.03.13,2022.03.19,7,RUN2U,STAYC(스테이씨),YOUNG-LUV.COM,,
7,2022,12,2022.03.13,2022.03.19,8,abcdefu,GAYLE,abcdefu,,
8,2022,12,2022.03.13,2022.03.19,9,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,,
9,2022,12,2022.03.13,2022.03.19,10,SMILEY (Feat. BIBI),YENA(최예나),SMiLEY,,
10,2022,12,2022.03.13,2022.03.19,11,ELEVEN,IVE (아이브),ELEVEN,,
11,2022,12,2022.03.13,2022.03.19,12,언제나 사랑해,케이시 (Kassy),조영수 리메이크 프로젝트 Part.2,,
12,2022,12,2022.03.13,2022.03.19,13,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo,쇼미더머니 10 Episode 2,,
13,2022,12,2022.03.13,2022.03.19,14,신호등,이무진,신호등,,
14,2022,12,2022.03.13,2022.03.19,15,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),,
15,2022,12,2022.03.13,2022.03.19,16,Step Back,GOT the beat,Step Back,,
16,2022,12,2022.03.13,2022.03.19,17,어제처럼,폴킴,어제처럼,,
17,2022,12,2022.03.13,2022.03.19,18,Stay,"The Kid LAROI, Justin Bieber",Stay,,
18,2022,12,2022.03.13,2022.03.19,19,"너, 너 (N번째 연애 X 휘인 (Whee In))",휘인 (Whee In),"너, 너 (N번째 연애 X 휘인 (Whee In)) OST",,
19,2022,12,2022.03.13,2022.03.19,20,리무진 (Feat. MINO) (Prod. GRAY),BE`O (비오),쇼미더머니 10 Episode 3,,
20,2022,12,2022.03.13,2022.03.19,21,드라마,아이유 (IU),조각집,,
21,2022,12,2022.03.13,2022.03.19,22,눈이 오잖아 (Feat.헤이즈),이무진,눈이 오잖아,,
