,year,week_num,start_date,end_date,rank,music,singer,album,production,distribution
0,2022,28,2022.07.03,2022.07.09,1,LOVE DIVE,IVE (아이브),LOVE DIVE,,
1,2022,28,2022.07.03,2022.07.09,2,POP!,나연 (TWICE),IM NAYEON,,
2,2022,28,2022.07.03,2022.07.09,3,TOMBOY,(여자)아이들,I NEVER DIE,,
3,2022,28,2022.07.03,2022.07.09,4,That That (prod. & feat. SUGA of BTS),싸이 (Psy),싸다9,,
4,2022,28,2022.07.03,2022.07.09,5,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자,,
5,2022,28,2022.07.03,2022.07.09,6,사랑인가 봐,멜로망스(Melomance),사랑인가 봐 (사내맞선 OST 스페셜 트랙),,
6,2022,28,2022.07.03,2022.07.09,7,나의 X에게,경서,나의 X에게,,
7,2022,28,2022.07.03,2022.07.09,8,우리들의 블루스,임영웅,IM HERO,,
8,2022,28,2022.07.03,2022.07.09,9,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life),,
9,2022,28,2022.07.03,2022.07.09,10,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS,,
10,2022,28,2022.07.03,2022.07.09,11,다시 만날 수 있을까,임영웅,IM HERO,,
11,2022,28,2022.07.03,2022.07.09,12,LOVE me,BE`O (비오),LOVE me,,
12,2022,28,2022.07.03,2022.07.09,13,취중고백,김민석,취중고백,,
13,2022,28,2022.07.03,2022.07.09,14,Feel My Rhythm,레드벨벳(Red Velvet),`The ReVe Festival 2022 - Feel My Rhythm`,,
14,2022,28,2022.07.03,2022.07.09,15,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, 정국, 방탄소년단",Left and Right,,
15,2022,28,2022.07.03,2022.07.09,16,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,,
16,2022,28,2022.07.03,2022.07.09,17,Yet To Come,방탄소년단,Proof,,
17,2022,28,2022.07.03,2022.07.09,18,무지개,임영웅,IM HERO,,
