Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
1,-,"

Stay
The Kid LAROI, Justin Bieber | Stay","31,913,539","Columbia
Sony Music",,
2,-,"

신호등
이무진 | 신호등","27,245,469","쇼플레이
Kakao Entertainment",,
3,-,"

Next Level
aespa | Next Level","21,795,938","SM Entertainment
Dreamus",,
4,-,"

바라만 본다
MSG워너비(M.O.M) | MSG워너비 1집","21,070,755","유야호
지니뮤직, Stone Music Entertainment",,
5,2,"

Weekend
태연 (TAEYEON) | Weekend","19,987,759","SM Entertainment
Dreamus",,
6,1,"

Queendom
레드벨벳(Red Velvet) | Queendom - The 6th Mini Album","19,841,605","SM Entertainment
Dreamus",,
7,1,"

낙하 (with 아이유)
AKMU (악뮤) | NEXT EPISODE","19,426,116","YG Entertainment
YG PLUS",,
8,2,"

OHAYO MY NIGHT
디핵 (D-Hack), PATEKO(파테코) | OHAYO MY NIGHT","18,425,524","NEOKIDZ
YG PLUS",,
9,1,"

DUMB DUMB
전소미 | DUMB DUMB","18,091,470","The Black Label
YG PLUS",,
10,1,"

Permission to Dance
방탄소년단 | Butter / Permission to Dance","18,013,219","BIGHIT MUSIC / HYBE
YG PLUS",,
11,1,"

Butter
방탄소년단 | Butter","16,616,844","BIGHIT MUSIC / HYBE
YG PLUS",,
12,1,"

좋아좋아
조정석 | 슬기로운 의사생활 시즌2 OST Part 5","16,384,625","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
13,2,"

Bad Habits
Ed Sheeran | Bad Habits","15,672,094","Atlantic Records UK
Warner Music",,
14,1,"

헤픈 우연
헤이즈 (Heize) | HAPPEN","15,636,460","피네이션
지니뮤직, Stone Music Entertainment",,
15,1,"

Peaches (Feat. Daniel Caesar, Giveon)
Justin Bieber | Justice","15,454,803","RBMG/Def Jam
Universal Music",,
16,7,"

시간을 거슬러 (낮에 뜨는 달 X 케이윌)
케이윌 (K.Will) | 시간을 거슬러 (낮에 뜨는 달 X 케이윌) OST","15,059,517","TOON STUDIO
Kakao Entertainment",,
17,1,"

비와 당신
이무진 | 슬기로운 의사생활 시즌2 OST Part 1","13,563,950","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
18,-,"

비가 오는 날엔 (2021)
헤이즈 (Heize) | 비가 오는 날엔 (2021)","12,822,348","PLAYLIST
지니뮤직, Stone Music Entertainment",,
19,-,"

Dun Dun Dance
오마이걸 (OH MY GIRL) | Dear OHMYGIRL","12,701,544","WM엔터테인먼트
Sony Music",,
