Title/Artist/Album,Score,Production/Distribution,Play,,,
47,4,"

라일락
아이유 (IU) | 5th Album `LILAC`","6,914,399","EDAM엔터테인먼트
Kakao Entertainment",,
48,16,"

호우주의 (Feat. 개코, 넉살 (Nucksal)) (Prod. 코드 쿤스트)
조광일 | 쇼미더머니 10 Semi Final","6,909,933","Stone Music Entertainment
지니뮤직",,
49,4,"

고백
멜로망스(Melomance) | 세 번째 `고백`","6,851,711","카카오엔터테인먼트, 민트페이퍼, 광합성
Kakao Entertainment",,
50,55,"

첫 눈
EXO | 겨울 스페셜 앨범 `12월의 기적 (Miracles In December)`","6,177,345","SM Entertainment
지니뮤직",,
51,9,"

깐부 (Feat. 염따, ASH ISLAND) (Prod. TOIL)
쿤타 (Koonta) | 쇼미더머니 10 Episode 3","6,132,516","Stone Music Entertainment
지니뮤직",,
52,-,"

모든 날, 모든 순간 (Every day, Every Moment)
폴킴 | `키스 먼저 할까요?` OST Part 3","5,974,899","SM Entertainment
Dreamus",,
53,3,"

사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)
호미들 | 사이렌 Remix","5,943,577","영앤리치 레코즈
Kakao Entertainment",,
54,5,"

시간을 거슬러 (낮에 뜨는 달 X 케이윌)
케이윌 (K.Will) | 시간을 거슬러 (낮에 뜨는 달 X 케이윌) OST","5,932,041","TOON STUDIO
Kakao Entertainment",,
55,48,"

Text Me Merry Christmas (Feat. Kristen Bell)
Straight No Chaser | Under The Influence: Holiday Edition","5,906,444","Warner Music
Warner Music",,
56,3,"

찰나가 영원이 될 때 (The Eternal Moment)
마크툽 (Maktub) | Red Moon : Beyond The Light","5,905,768","MAKTUB Company
Warner Music",,
57,11,"

탕!♡
MINO (송민호) | ″TO INFINITY.″","5,805,344","YG Entertainment
YG PLUS",,
58,-,"

이제 나만 믿어요
임영웅 | 내일은 미스터트롯 우승자 특전곡","5,799,161","TV CHOSUN, 쇼플레이
Kakao Entertainment",,
59,86,"

너의 모든 순간
성시경 | 별에서 온 그대 OST Part 7","5,722,127","SBS 콘텐츠허브
Kakao Entertainment",,
60,3,"

롤린 (Rollin`)
브레이브걸스 (Brave Girls) | Rollin`","5,710,550","브레이브 엔터테인먼트
음악형제들",,
61,11,"

밤새 서로 미루다
존 박, 전미도 | 밤새 서로 미루다","5,589,944","뮤직팜
Kakao Entertainment",,
62,1,"

추억은 만남보다 이별에 남아
정동하 | 추억은 만남보다 이별에 남아","5,520,525","뮤직원 컴퍼니
Kakao Entertainment",,
63,4,"

비가 오는 날엔 (2021)
헤이즈 (Heize) | 비가 오는 날엔 (2021)","5,497,137","PLAYLIST
지니뮤직, Stone Music Entertainment",,
64,4,"

내 손을 잡아
아이유 (IU) | 최고의 사랑 OST Part 4","5,455,775","더그루브엔터테인먼트
Kakao Entertainment",,
65,14,"

너와 나의 Memories
염따 (YumDDa), TOIL, 쿤타, 베이식 (Basick), 365LIT, 황지상 (HWANG JI SANG), 송민영 | 쇼미더머니 10 Episode 1","5,440,523","Stone Music Entertainment
지니뮤직",,
66,4,"

Dun Dun Dance
오마이걸 (OH MY GIRL) | Dear OHMYGIRL","5,410,675","WM엔터테인먼트
Sony Music",,
67,6,"

DUMB DUMB
전소미 | DUMB DUMB","5,359,114","The Black Label
YG PLUS",,
68,2,"

밝게 빛나는 별이 되어 비춰줄게
송이한 | 밝게 빛나는 별이 되어 비춰줄게","5,315,013","뮤직디자인
Kakao Entertainment",,
69,47,"

Underneath The Tree
Kelly Clarkson | Wrapped In Red (Deluxe Edition)","5,289,967","Rca Records Label
Sony Music",,
70,6,"

Blueming
아이유 (IU) | Love poem","5,272,307","Kakao Entertainment
Kakao Entertainment",,
71,38,"

Make It To Christmas
Alessia Cara | Make It To Christmas","5,230,188","EP Entertainment, LLC / Def Jam
Universal Music",,
72,18,"

SCIENTIST
TWICE | Formula of Love: O+T=<3","5,208,716","JYP Entertainment
Dreamus",,
73,4,"

Queendom
레드벨벳(Red Velvet) | Queendom - The 6th Mini Album","5,134,382","SM Entertainment
Dreamus",,
74,7,"

나 그댈위해 시 한편을 쓰겠어
케이시 (Kassy) | 옛이야기","5,115,342","넥스타엔터테인먼트
Kakao Entertainment",,
75,10,"

좋아좋아
조정석 | 슬기로운 의사생활 시즌2 OST Part 5","5,046,780","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
76,53,"

Must Have Love
SG워너비, 브라운 아이드 걸스 | SG워너비 ＆ 브라운 아이드 걸스","5,020,549","Beyond Music
내가 네트워크",,
77,5,"

취기를 빌려 (취향저격 그녀 X 산들)
산들 | 취기를 빌려 (취향저격 그녀 X 산들) OST","4,971,990","TOON STUDIO
Kakao Entertainment",,
78,8,"

비와 당신
이무진 | 슬기로운 의사생활 시즌2 OST Part 1","4,957,239","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
79,4,"

Off My Face
Justin Bieber | Justice","4,740,546","RBMG/Def Jam
Universal Music",,
80,6,"

ASAP
STAYC(스테이씨) | STAYDOM","4,689,714","하이업엔터테인먼트
Kakao Entertainment",,
81,4,"

그날에 나는 맘이 편했을까
이예준 | 그날에 나는 맘이 편했을까","4,669,643","뮤니콘
Kakao Entertainment",,
82,2,"

오늘도 빛나는 너에게 (To You My Light) (Feat.이라온)
마크툽 (Maktub) | Red Moon : To You My Light","4,593,239","MAKTUB Company
Warner Music",,
83,4,"

에잇 (Prod.&Feat. SUGA of BTS)
아이유 (IU) | 에잇","4,535,735","EDAM엔터테인먼트
Kakao Entertainment",,
84,new,"

Christmas Tree
V | 그 해 우리는 OST Part.5","4,509,159","모스트콘텐츠
NHN벅스",,
85,7,"

다음생이 있다면 당신을 만나서 다시 사랑할래요
임재현 | 다음생이 있다면 당신을 만나서 다시 사랑할래요","4,492,840","디원미디어
지니뮤직, Stone Music Entertainment",,
86,18,"

08베이식 (Feat. 염따, punchnello)
베이식(Basick) | 쇼미더머니 10 Semi Final","4,462,777","Stone Music Entertainment
지니뮤직",,
87,3,"

멜로디
ASH ISLAND | 멜로디","4,396,759","앰비션뮤직
지니뮤직, Stone Music Entertainment",,
88,6,"

작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey)
방탄소년단 | MAP OF THE SOUL : PERSONA","4,368,489","BIGHIT MUSIC / HYBE
YG PLUS",,
89,1,"

봄날
방탄소년단 | YOU NEVER WALK ALONE","4,300,541","BIGHIT MUSIC / HYBE
YG PLUS",,
90,17,"

TROUBLE (Prod. Slom)
Don Mills , Northfacegawd , sokodomo , Khakii (카키) , A-Chess (에이체스) | 쇼미더머니 10 Episode 1","4,285,654","Stone Music Entertainment
지니뮤직",,
91,10,"

Lovesick Girls
BLACKPINK | THE ALBUM","4,248,716","YG Entertainment
YG PLUS",,
92,3,"

Savage Love (Laxed - Siren Beat) (BTS Remix)
Jawsh 685, Jason Derulo, BTS | Savage Love (Laxed - Siren Beat) (BTS Remix)","4,180,549","Columbia
Sony Music",,
93,2,"

그대라는 사치
임영웅 | 사랑의 콜센타 PART62","4,151,907","TV CHOSUN, 쇼플레이
Kakao Entertainment",,
94,-,"

다시 사랑한다면 (김필 Ver.)
임영웅 | 사랑의 콜센타 PART56","4,003,960","TV CHOSUN, 쇼플레이
Kakao Entertainment",,
95,24,"

Reset (Feat. 개코, Kid Milli) (Prod. 코드 쿤스트)
SINCE, Tabber | 쇼미더머니 10 Episode 3","3,983,480","Stone Music Entertainment
지니뮤직",,
96,51,"

Christmas Without You
Ava Max | Christmas Without You","3,971,778","Atlantic Records UK
Warner Music",,
97,63,"

Like It`s Christmas
Jonas Brothers | Like It`s Christmas","3,915,048","Universal Music
Universal Music",,
98,6,"

Hey Mama (Feat. Nicki Minaj & Afrojack)
David Guetta | Listen (Deluxe)","3,830,082","Parlophone France
Warner Music",,
99,73,"

Last Christmas
Wham! | George Michael & Wham! Last Christmas : The Original Motion Picture Soundtrack","3,763,581","Sony Music CG
Sony Music",,
100,new,"

이별후회
김나영 | 그 해 우리는 OST Part.4","3,754,534","모스트콘텐츠
NHN벅스",,
101,14,"

하루만 더
빅마마 (BigMama) | 하루만 더","3,730,875","Kakao Entertainment
Kakao Entertainment",,
102,HOT,"

거리에서
성시경 | The Ballads","3,687,182","제로원인터랙티브
더늠",,
103,20,"

별빛 같은 나의 사랑아
임영웅 | 별빛 같은 나의 사랑아","3,670,567","티조컬처앤컨텐츠, 뉴에라프로젝트, 물고기뮤직
Kakao Entertainment",,
104,5,"

잊었니
임영웅 | 사랑의 콜센타 PART60","3,614,615","TV CHOSUN, 쇼플레이
Kakao Entertainment",,
105,62,"

우리가 헤어져야 했던 이유
비비(BIBI) | 그 해 우리는 OST Part.2","3,572,331","모스트콘텐츠
NHN벅스",,
106,30,"

서랍
10cm | 그 해 우리는 OST Part.1","3,487,012","모스트콘텐츠
NHN벅스",,
107,48,"

Santa`s Coming For Us
Sia | Santa`s Coming For Us","3,477,447","Monkey Puzzle, Atlantic
Warner Music",,
108,new,"

너 없이 사는 게 (N번째 연애 X 허각)
허각 | 너 없이 사는 게 (N번째 연애 X 허각) OST","3,429,816","TOON STUDIO
Kakao Entertainment",,
109,16,"

가을 우체국 앞에서
김대명 | 슬기로운 의사생활 시즌2 OST Part 2","3,419,874","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
110,55,"

너의 밤,너의 별,너의 달(Prod.로코베리)
기리보이(Giriboy), 김유정 | 너의 밤,너의 별,너의 달","3,416,323","하얀달 엔터테인먼트, 딩고뮤직
Kakao Entertainment",,
111,10,"

2002
Anne-Marie | Speak Your Mind (Deluxe)","3,394,304","Atlantic Records UK
Warner Music",,
112,16,"

잠이 오질 않네요
장범준 | 잠이 오질 않네요","3,323,146","버스커버스커
Kakao Entertainment",,
113,86,"

This Christmas
태연 (TAEYEON) | This Christmas Winter is Coming","3,313,659","SM Entertainment
Dreamus",,
114,19,"

Life Goes On
방탄소년단 | BE","3,296,063","BIGHIT MUSIC / HYBE
YG PLUS",,
115,9,"

HERO
임영웅 | HERO","3,265,735","티조컬처앤컨텐츠, 뉴에라프로젝트
Kakao Entertainment",,
116,HOT,"

희재
성시경 | 국화꽃향기 OST","3,222,508","태원엔터테인먼트
태원엔터테인먼트",,
117,66,"

Oh Santa! (Feat. Ariana Grande & Jennifer Hudson)
Mariah Carey | Oh Santa!","3,215,482","Legacy Recordings
Sony Music",,
118,6,"

Tiny Riot
Sam Ryder | Tiny Riot","3,206,858","Parlophone UK
Warner Music",,
119,19,"

너는 내 세상이었어
볼빨간사춘기 | Butterfly Effect","3,193,967","쇼파르엔터테인먼트
NHN벅스",,
120,34,"

Universe (Let`s Play Ball)
NCT U | Universe - The 3rd Album","3,185,995","SM Entertainment
Dreamus",,
121,45,"

UP해 (Feat. 박재범, 우원재) (Prod. 코드 쿤스트)
SINCE | 쇼미더머니 10 Final","3,181,281","Stone Music Entertainment
지니뮤직",,
122,9,"

끝사랑
임영웅 | 사랑의 콜센타 PART61","3,175,079","TV CHOSUN, 쇼플레이
Kakao Entertainment",,
123,21,"

METEOR
창모 (CHANGMO) | Boyhood","2,998,337","앰비션뮤직
지니뮤직, Stone Music Entertainment",,
124,86,"

묘해, 너와
어쿠스틱 콜라보 | 연애의 발견 OST Part 4","2,994,443","모그커뮤니케이션즈
Universal Music",,
