Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
1,-,"

Celebrity
아이유 (IU) | Celebrity","33,310,426","EDAM엔터테인먼트
Kakao Entertainment",,
2,1,"

밤하늘의 별을(2020)
경서 | 밤하늘의 별을(2020)","18,318,029","꿈의엔진
Kakao Entertainment",,
3,new,"

Don`t Call Me
샤이니 (SHINee) | Don`t Call Me - The 7th Album","17,707,671","SM Entertainment
Dreamus",,
4,-,"

Dynamite
방탄소년단 | Dynamite","17,571,327","BIGHIT MUSIC / HYBE
Dreamus",,
5,-,"

VVS (Feat. JUSTHIS) (Prod. GroovyRoom)
미란이 (Mirani), 먼치맨, Khundi Panda, 머쉬베놈 (MUSHVENOM) | 쇼미더머니 9 Episode 1","15,027,698","Stone Music Entertainment
지니뮤직",,
6,-,"

잠이 오질 않네요
장범준 | 잠이 오질 않네요","14,842,877","버스커버스커
Kakao Entertainment",,
7,1,"

Lovesick Girls
BLACKPINK | THE ALBUM","14,440,175","YG Entertainment
YG PLUS",,
8,new,"

Beautiful Beautiful
온앤오프 (ONF) | ONF: MY NAME","14,259,661","WM엔터테인먼트
지니뮤직, Stone Music Entertainment",,
9,2,"

이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM)
10cm | 이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM) OST","13,897,656","TOON STUDIO, 느을
Kakao Entertainment",,
10,1,"

취기를 빌려 (취향저격 그녀 X 산들)
산들 | 취기를 빌려 (취향저격 그녀 X 산들) OST","13,722,359","TOON STUDIO
Kakao Entertainment",,
11,-,"

내 손을 잡아
아이유 (IU) | 최고의 사랑 OST Part 4","12,801,397","더그루브엔터테인먼트
Kakao Entertainment",,
12,10,"

PARANOIA
강다니엘 | PARANOIA","12,244,091","KONNECT ENTERTAINMENT
Sony Music",,
13,1,"

에잇 (Prod.&Feat. SUGA of BTS)
아이유 (IU) | 에잇","12,204,919","EDAM엔터테인먼트
Kakao Entertainment",,
14,3,"

밝게 빛나는 별이 되어 비춰줄게
송이한 | 밝게 빛나는 별이 되어 비춰줄게","12,195,968","뮤직디자인
Kakao Entertainment",,
15,-,"

나랑 같이 걸을래 (바른연애 길잡이 X 적재)
적재 | 나랑 같이 걸을래 (바른연애 길잡이 X 적재) OST","11,825,224","TOON STUDIO, 느을
Kakao Entertainment",,
16,2,"

Blueming
아이유 (IU) | Love poem","11,584,246","Kakao Entertainment
Kakao Entertainment",,
17,4,"

힘든 건 사랑이 아니다
임창정 | 힘든 건 사랑이 아니다","11,442,050","예스아이엠엔터테인먼트
인터파크",,
18,8,"

I`m Not Cool
현아 (HyunA) | I`m Not Cool","11,321,937","피네이션
Kakao Entertainment",,
19,1,"

오래된 노래
스탠딩 에그(Standing Egg) | 오래된 노래","10,527,573","BORN
Kakao Entertainment",,
20,3,"

흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야
장범준 | 멜로가 체질 OST Part 3","10,387,054","Stone Music Entertainment, 삼화네트웍스
지니뮤직, Stone Music Entertainment",,
21,5,"

고백 (바른연애 길잡이 X 허각)
허각 | 고백 (바른연애 길잡이 X 허각) OST","10,346,407","TOON STUDIO, 느을
Kakao Entertainment",,
22,2,"

Life Goes On
방탄소년단 | BE","10,331,684","BIGHIT MUSIC / HYBE
Dreamus",,
23,1,"

어떻게 이별까지 사랑하겠어, 널 사랑하는 거지
AKMU (악뮤) | 항해","9,956,696","YG Entertainment
YG PLUS",,
24,2,"

Savage Love (Laxed - Siren Beat) (BTS Remix)
Jawsh 685, Jason Derulo, BTS | Savage Love (Laxed - Siren Beat) (BTS Remix)","9,873,124","Columbia
Sony Music",,
25,new,"

꼬리 (TAIL)
선미 | 꼬리 (TAIL)","9,769,738","어비스컴퍼니
Kakao Entertainment",,
26,5,"

내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)
규현 (KYUHYUN) | 내 마음이 움찔했던 순간 (취향저격 그녀 X 규현) OST","9,768,722","TOON STUDIO, 느을
Kakao Entertainment",,
27,2,"

모든 날, 모든 순간 (Every day, Every Moment)
폴킴 | `키스 먼저 할까요?` OST Part 3","9,477,804","SM Entertainment
Dreamus",,
28,-,"

그날에 나는 맘이 편했을까
이예준 | 그날에 나는 맘이 편했을까","9,085,235","뮤니콘
Kakao Entertainment",,
29,-,"

Dolphin
오마이걸 (OH MY GIRL) | NONSTOP","9,066,887","WM엔터테인먼트
Sony Music",,
30,11,"

화(火花)
(여자)아이들 | I burn","8,978,668","큐브엔터테인먼트
Kakao Entertainment",,
31,2,"

METEOR
창모 (CHANGMO) | Boyhood","8,851,445","앰비션뮤직
지니뮤직, Stone Music Entertainment",,
32,2,"

사실 나는 (Feat.전건호)
경서예지 | 사실 나는","8,828,622","먼데이키즈 컴퍼니, 에버그로우
Kakao Entertainment",,
33,2,"

How You Like That
BLACKPINK | How You Like That","8,753,081","YG Entertainment
YG PLUS",,
34,8,"

내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))
릴보이 (lIlBOI) | 쇼미더머니 9 Episode 3","8,681,859","Stone Music Entertainment
지니뮤직",,
35,3,"

늦은 밤 너의 집 앞 골목길에서
노을 | 늦은 밤 너의 집 앞 골목길에서","8,664,625","씨제스엔터테인먼트
Kakao Entertainment",,
36,9,"

혼술하고 싶은 밤
벤 (Ben) | 혼술하고 싶은 밤","8,561,795","메이저나인
지니뮤직",,
37,3,"

When We Disco (Duet with 선미)
박진영 | When We Disco","8,528,832","JYP Entertainment
Dreamus",,
38,3,"

2002
Anne-Marie | Speak Your Mind (Deluxe)","8,457,834","Atlantic Records UK
Warner Music",,
39,2,"

뒤돌아보지 말아요
젝스키스 | 뒤돌아보지 말아요","8,435,937","YG Entertainment
YG PLUS",,
40,4,"

Love poem
아이유 (IU) | Love poem","8,151,869","Kakao Entertainment
Kakao Entertainment",,
41,1,"

아로하
조정석 | 슬기로운 의사생활 OST Part 3","7,936,222","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
42,3,"

어떻게 지내
오반 (OVAN) | 어떻게 지내","7,916,586","로맨틱팩토리
Kakao Entertainment",,
43,1,"

작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey)
방탄소년단 | MAP OF THE SOUL : PERSONA","7,678,609","BIGHIT MUSIC / HYBE
Dreamus",,
44,3,"

술 한잔 해요
경서 (경서예지), MJ (써니사이드) | 술 한잔 해요","7,671,330","프로젝트 리본
Warner Music",,
45,2,"

Memories
Maroon 5 | Memories","7,646,100","222 Records/Interscope Records
Universal Music",,
46,4,"

마음을 드려요
아이유 (IU) | 사랑의 불시착 OST Part 11","7,631,039","EDAM엔터테인먼트
Kakao Entertainment",,
47,new,"

사랑한단 거짓말은 안 할래
먼데이 키즈 (Monday Kiz), 최현준 | 사랑한단 거짓말은 안 할래","7,481,814","먼데이키즈 컴퍼니, J-SOUL company
Kakao Entertainment",,
48,4,"

살짝 설렜어 (Nonstop)
오마이걸 (OH MY GIRL) | NONSTOP","7,255,539","WM엔터테인먼트
Sony Music",,
49,-,"

너의 번호를 누르고 (Prod. 영화처럼)
#안녕 | 너의 번호를 누르고","7,242,458","시애틀뮤직
Warner Music",,
50,5,"

서면역에서
순순희 | 서면역에서","7,218,457","비에스엔터테인먼트
지니뮤직",,
51,-,"

시작
가호 (Gaho) | 이태원 클라쓰 OST Part.2","7,072,964","블렌딩
블렌딩",,
52,57,"

오늘도 난 봄을 기다려
케이시 (Kassy) | 비밀:리에 vol.2 ″오늘도 난 봄을 기다려″","7,058,519","Dreamus, WHYNOT MEDIA
Dreamus",,
53,-,"

오늘도 빛나는 너에게 (To You My Light) (Feat.이라온)
마크툽 (Maktub) | Red Moon : To You My Light","6,997,272","MAKTUB Company
Warner Music",,
54,4,"

이제 나만 믿어요
임영웅 | 내일은 미스터트롯 우승자 특전곡","6,989,111","TV CHOSUN, 쇼플레이
Kakao Entertainment",,
55,7,"

딩가딩가 (Dingga)
마마무 (Mamamoo) | 딩가딩가 (Dingga)","6,987,976","RBW
Kakao Entertainment",,
56,new,"

사랑하는 당신께
폴킴 | 사랑하는 당신께","6,986,415","뉴런뮤직
Kakao Entertainment",,
57,2,"

너를 만나
폴킴 | 너를 만나","6,962,647","뉴런뮤직
Kakao Entertainment",,
58,11,"

Panorama
IZ*ONE (아이즈원) | One-reeler / Act IV","6,934,580","OFF THE RECORD Entertainment, SWING Entertainment
지니뮤직, Stone Music Entertainment",,
59,2,"

봄날
방탄소년단 | YOU NEVER WALK ALONE","6,903,385","BIGHIT MUSIC / HYBE
Dreamus",,
60,14,"

CREDIT (Feat. 염따, 기리보이, Zion.T)
릴보이 (lIlBOI) | 쇼미더머니 9 Final","6,847,238","Stone Music Entertainment
지니뮤직",,
61,7,"

I CAN`T STOP ME
TWICE | Eyes wide open","6,746,716","JYP Entertainment
Dreamus",,
62,4,"

우리 왜 헤어져야 해
신예영 | 우리 왜 헤어져야 해","6,644,478","스튜디오 오드리
Kakao Entertainment",,
